asset,condition_id,slug,market_start,selected_side,signal_ask,arrival_ask,arrival_ask_size,inferred_outcome,official_outcome,official_classification,official_won,official_pnl_at_five_shares,gamma_url,gamma_response_body_sha256,clob_url,clob_response_body_sha256
btc,0x877164694b1e24e500bc57f6fddc491a710d592a437a6601dcd0a15397689e01,btc-updown-5m-1774638300,2026-03-27 19:05:00+00:00,Down,0.92,0.92,58.02,Down,Up,terminal_confirmed_both,False,-4.62576,https://gamma-api.polymarket.com/markets/slug/btc-updown-5m-1774638300,982bbcd818737974bcca97318105d5e2322a682280900af7586226d8d8984161,https://clob.polymarket.com/simplified-markets?next_cursor=Njk1MDAw,3a1ced842fbc4ce5c6f103a818dce87510d1d6bd138e2019712595d161f1760b
eth,0xab8463fdee7b57ca4c12d269f6b79dc9a616d7de5c5d652fcd2cb373e458bf9b,eth-updown-5m-1775580300,2026-04-07 16:45:00+00:00,Up,0.99,0.99,791.08,Up,Down,terminal_confirmed_both,False,-4.9534650000000005,https://gamma-api.polymarket.com/markets/slug/eth-updown-5m-1775580300,d5a8a2cf4f4388a47a9e356c9da852fd89ce5e51aebefc1c7781b93552032a3a,https://clob.polymarket.com/simplified-markets?next_cursor=Nzk2MDAw,0df5b94bd5b975865dfcb3eb6d8cfb0621984721b75bb544d87f2cadf58d7a39
btc,0x9843de3787b17d3e8a56e088055f3be92c67cf9e003ece193129a339c1913039,btc-updown-5m-1775823900,2026-04-10 12:25:00+00:00,Down,0.92,0.91,136.09,Down,Up,terminal_confirmed_both,False,-4.578664999999999,https://gamma-api.polymarket.com/markets/slug/btc-updown-5m-1775823900,0dea7c6750bc31a522ea7ee441e87c7574e20b816d98532482313734c3bff024,https://clob.polymarket.com/simplified-markets?next_cursor=ODIwMDAw,3f53d41926de2b839c3fdd88f964d03fcda30daeac7ea444c1b6295aab5e3d12
eth,0x2644f6586b1ff3dcc66fc8d902d6ac4e7d89fa7d7184452f222fc97f40a0bcf9,eth-updown-5m-1777034700,2026-04-24 12:45:00+00:00,Up,0.92,0.92,65.63,Up,Down,terminal_confirmed_both,False,-4.62576,https://gamma-api.polymarket.com/markets/slug/eth-updown-5m-1777034700,8410e6a3070397b0a58466a57a5c335cae87f879f7cbd5e44f95d95fc61ebb13,https://clob.polymarket.com/simplified-markets?next_cursor=OTQzMDAw,7c616bc55f639efc3ad5e5c63a6836bbcc3c3c7c2a796d3758e2350dbdf9a8d6
eth,0x0922e6d8a580df0063dceadc6f9d33480fac5b6121b5933bc4d3609089052f2c,eth-updown-5m-1777642500,2026-05-01 13:35:00+00:00,Down,0.85,0.85,23.83,Up,Down,terminal_gamma_only,True,0.7053750000000002,https://gamma-api.polymarket.com/markets/slug/eth-updown-5m-1777642500,55f6b730aa1687f10d91455dee01df6ea11afd144bc2a48352dad85a77449699,,
eth,0x64a0b8bc82ce31dc6992f56a6f9e0037660835d1fd8af4808a00ed775a4e6ffc,eth-updown-5m-1777659000,2026-05-01 18:10:00+00:00,Up,0.91,0.91,77.16,Down,Up,terminal_gamma_only,True,0.4213350000000003,https://gamma-api.polymarket.com/markets/slug/eth-updown-5m-1777659000,4745638c609e852ffd6a96d7e23fd1a624261a3af39c3a6d1acd83fa54899d30,,
eth,0x4f7d402a972e69b25030ba76a195161cfe851936feb7e7daa79c70ca8546d630,eth-updown-5m-1777684800,2026-05-02 01:20:00+00:00,Up,0.96,0.96,250.0,Down,Up,terminal_gamma_only,True,0.1865600000000001,https://gamma-api.polymarket.com/markets/slug/eth-updown-5m-1777684800,f29109108eee28043e1d7b10063f0d06f5c5932b678f3c872454321a11197ed7,,
btc,0x7cba6e626c5335d2843bdffada0f5d5a5d7a2d6571ca4412d9635151e1ad0c0e,btc-updown-5m-1777857300,2026-05-04 01:15:00+00:00,Up,0.96,0.96,20.0,Up,Down,terminal_gamma_only,False,-4.81344,https://gamma-api.polymarket.com/markets/slug/btc-updown-5m-1777857300,711acbdade53c307071dcfc3af205774a0e93d8d4f94ad74e4e92ab2c3920937,,
eth,0x363c52b17b934dc97ed90043a8c1cfae5923e317409180b92fe79cb8fdceee32,eth-updown-5m-1778319300,2026-05-09 09:35:00+00:00,Up,0.86,0.86,10.0,Up,Down,terminal_gamma_only,False,-4.34214,https://gamma-api.polymarket.com/markets/slug/eth-updown-5m-1778319300,b01d74f0190071fa182cbf0fb461fe9445684a37ddad074bc0302a74d9317f01,,
